,Unique Values,Top 3 Values
Name,11562,"{'Need for Speed: Most Wanted': 12, 'FIFA 14': 9, 'Ratatouille': 9}"
Platform,31,"{'PS2': 2161, 'DS': 2152, 'PS3': 1331}"
Genre,12,"{'Action': 3370, 'Sports': 2348, 'Misc': 1750}"
Publisher,581,"{'Electronic Arts': 1356, 'Activision': 985, 'Namco Bandai Games': 939}"
User_Score,96,"{'tbd': 2425, '7.8': 324, '8': 290}"
Developer,1696,"{'Ubisoft': 204, 'EA Sports': 172, 'EA Canada': 167}"
Rating,8,"{'E': 3991, 'T': 2961, 'M': 1563}"
